code,name,value,refund
100400,原佛子･龍華護摩木,40,0
100600,四生水子供養護摩木,60,0
101001,天地免劫護摩木,100,40
101002,地護摩木,100,40
102000,収天･灶君護摩木,200,100
105001,三會龍華之御柱,500,50
105002,三會以外のHP,500,0
108000,三期滅劫之霊木,800,100
120001,三界平定･有気之御柱,2000,300
120002,八大明王如意棒,2000,800
130001,龍樹滅業棒,3000,1200
130002,北斗施餓鬼供養護摩木,3000,0
200051,免罪符,5,0
200052,陰陽融合符,5,0
200053,財罪浄化開放符,5,0
200054,大光明旗,5,0
200055,大光明神殿符,5,0
200056,よみかきそろばん符(こども),5,0
200101,大光明獅子符,10,0
200102,聖荼吉尼天符,10,0
200103,聖弁財天符,10,0
200201,済公護摩符,20,0
200202,治命普済霊符,20,0
200203,精霊護摩符,20,0
200204,よみかきそろばん符(大人),20,0
200251,四生供養符,25,5
200252,肉食禁止符,25,0
200253,魚介精進解放符,25,0
200301,三期収圓符,30,0
200302,星塔日月符,30,0
200501,悠神導霊符,50,0
200502,四生因縁護摩符,50,0
200503,宝剣,50,0
200504,天地免劫護摩符,50,0
201001,白陽収円符,100,0
201002,白陽八卦符,100,0
201003,みろく鵺符,100,10
201004,おかげ符,100,40
201005,泉珠靖国神社符,100,0
201006,トレジャリー符,100,0
201007,裏トレジャリー符,100,0
204001,四生童子符,400,0
204002,五童子符（バラ）,400,0
205001,人型,500,0
205002,四神獣符,500,200
208000,導霊極天護摩符,800,0
210000,泉珠暦,1000,0
210001,灶君護摩符,1000,350
210002,大國陰陽符,1000,0
210003,銭型,1000,0
210004,五童子符 (3枚1組),1000,0
210005,八大龍王札,1000,0
210006,七福神札,1000,0
210007,がん封じ札,1000,0
210008,ぼけ封じ札,1000,0
